route,lines,title,endpoint_count,bucket,category,borderline_note
/,117,{t('home.title')},1,USER,用户端业务页（SRE/运维/管理使用者）,
/accessibility,360,可访问性设置,0,DEVOPS,UI 组件/开发演示页（前端基建）,
/advanced-table,400,高级数据表格,1,DEVOPS,UI 组件/开发演示页（前端基建）,
/ai-copilot,301,AI Copilot 智能助手,1,USER,用户端业务页（SRE/运维/管理使用者）,
/ai-features,388,AI功能,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/advanced-ai,170,高级AI功能,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/ai-advanced,641,AI高级分析,6,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/ai-copilot,226,AI Copilot 智能助手,1,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/ai-feedback,241,AI反馈收集,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/capability-evaluator,215,能力评估器,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/cost-optimizer,242,成本优化器,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/cross-layer-tracking,177,跨层追踪,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/deep-learning,183,深度学习模型,3,DEVOPS,模型训练/优化（开发者·ML 内部）,
/ai/document-index,195,文档索引,3,DEVOPS,RAG/AI 内部组件（向量化/检索/重排/融合/索引）,
/ai/fusion,194,结果融合,2,DEVOPS,RAG/AI 内部组件（向量化/检索/重排/融合/索引）,
/ai/intelligent-analysis,248,智能分析,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/knowledge-graph,222,知识图谱,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/knowledge-retrieval,158,知识库检索,2,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/langgraph-dsl,226,DSL语言定义,3,DEVOPS,AI 工作流引擎内部（DSL/节点/执行器/可视化）,
/ai/langgraph-executor,226,工作流执行器,3,DEVOPS,AI 工作流引擎内部（DSL/节点/执行器/可视化）,
/ai/langgraph-nodes,210,节点类型,2,DEVOPS,AI 工作流引擎内部（DSL/节点/执行器/可视化）,
/ai/langgraph-visualizer,220,工作流可视化,4,DEVOPS,AI 工作流引擎内部（DSL/节点/执行器/可视化）,
/ai/langgraph-workflow,188,LangGraph工作流,3,DEVOPS,AI 工作流引擎内部（DSL/节点/执行器/可视化）,工作流编排（用户编排 or 引擎内部？）
/ai/llm-router,209,LLM路由器,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/load-balancer,230,负载均衡器,4,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/model-fine-tuning,292,模型微调,4,DEVOPS,模型训练/优化（开发者·ML 内部）,
/ai/model-optimization,215,模型优化,3,DEVOPS,模型训练/优化（开发者·ML 内部）,
/ai/pattern-matching,208,模式匹配,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/rag-knowledge-base,233,RAG知识库,4,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/reranker,207,重排序器,2,DEVOPS,RAG/AI 内部组件（向量化/检索/重排/融合/索引）,
/ai/retriever,219,检索器,2,DEVOPS,RAG/AI 内部组件（向量化/检索/重排/融合/索引）,
/ai/root-cause-analysis,180,根因分析,2,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/runbook-generator,249,Runbook生成器,4,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/semantic-search,158,语义搜索,2,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/topology-analysis,167,拓扑分析,3,USER,用户端业务页（SRE/运维/管理使用者）,
/ai/vectorizer,235,向量化处理,3,DEVOPS,RAG/AI 内部组件（向量化/检索/重排/融合/索引）,
/alerts,632,告警管理,5,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-acknowledgement,293,告警确认,2,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-aggregation,473,告警聚合,3,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-configuration,288,告警配置,1,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-correlation,318,告警关联,2,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-dashboard,294,告警仪表盘,0,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-deduplication,399,告警去重,3,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-escalation,423,告警升级,3,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-forwarding,485,告警转发,2,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-history,394,告警历史,0,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-notification,443,告警通知,3,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-prediction,232,告警预测,1,USER,用户端业务页（SRE/运维/管理使用者）,
/alerts/alert-routing,457,告警路由,2,USER,用户端业务页（SRE/运维/管理使用者）,
